city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
Parker,"South Dakota",43.399595,-97.134211,1,place,,,,,Parker,SD,"Turner County",57053,US,"TIGER/Line® dataset from the US Census Bureau"
Chamberlain,"South Dakota",43.752355,-99.301892,1,place,,,,,Chamberlain,SD,"Brule County",57325,US,"TIGER/Line® dataset from the US Census Bureau"
Kimball,"South Dakota",43.744477,-98.95381,1,place,,,,,Kimball,SD,"Brule County",57355,US,"TIGER/Line® dataset from the US Census Bureau"
Clark,"South Dakota",44.891983,-97.832972,1,place,,,,,Clark,SD,"Clark County",57225,US,"TIGER/Line® dataset from the US Census Bureau"
"Willow Lake","South Dakota",44.659815,-97.573152,1,place,,,,,"Willow Lake",SD,"Clark County",57278,US,"TIGER/Line® dataset from the US Census Bureau"
Custer,"South Dakota",43.657304,-103.425807,1,place,,,,,Custer,SD,"Custer County",57730,US,"TIGER/Line® dataset from the US Census Bureau"
"De Smet","South Dakota",44.369482,-97.542049,1,place,,,,,"De Smet",SD,"Kingsbury County",57231,US,"TIGER/Line® dataset from the US Census Bureau"
Iroquois,"South Dakota",44.36692,-97.85092,1,place,,,,,Iroquois,SD,"Kingsbury County",57353,US,"TIGER/Line® dataset from the US Census Bureau"
"Dell Rapids","South Dakota",43.803585,-96.699766,1,place,,,,,"Dell Rapids",SD,"Minnehaha County",57022,US,"TIGER/Line® dataset from the US Census Bureau"
Hartford,"South Dakota",43.62303,-96.94256,1,place,,,,,Hartford,SD,"Minnehaha County",57033,US,"TIGER/Line® dataset from the US Census Bureau"
"Sioux Falls","South Dakota",43.546358,-96.69063,1,place,,,,,"Sioux Falls",SD,"Minnehaha County",57101,US,"TIGER/Line® dataset from the US Census Bureau"
Egan,"South Dakota",43.998434,-96.648034,1,place,,,,,Egan,SD,"Moody County",57024,US,"TIGER/Line® dataset from the US Census Bureau"
Flandreau,"South Dakota",43.984004,-96.616189,1,place,,,,,Flandreau,SD,"Moody County",57028,US,"TIGER/Line® dataset from the US Census Bureau"
"Elk Point","South Dakota",42.76399,-96.676742,1,place,,,,,"Elk Point",SD,"Union County",57025,US,"TIGER/Line® dataset from the US Census Bureau"
Eureka,"South Dakota",45.77074,-99.330778,1,place,,,,,Eureka,SD,"McPherson County",57437,US,"TIGER/Line® dataset from the US Census Bureau"
Faulkton,"South Dakota",45.085504,-99.195418,1,place,,,,,Faulkton,SD,"Faulk County",57438,US,"TIGER/Line® dataset from the US Census Bureau"
"Fort Pierre","South Dakota",44.343326,-100.635312,1,place,,,,,"Fort Pierre",SD,"Stanley County",57532,US,"TIGER/Line® dataset from the US Census Bureau"
Henry,"South Dakota",44.929255,-97.391955,1,place,,,,,Henry,SD,"Codington County",57243,US,"TIGER/Line® dataset from the US Census Bureau"
Watertown,"South Dakota",44.955643,-97.177954,1,place,,,,,Watertown,SD,"Codington County",57201,US,"TIGER/Line® dataset from the US Census Bureau"
"Hill City","South Dakota",44.0082,-103.651357,1,place,,,,,"Hill City",SD,"Pennington County",57745,US,"TIGER/Line® dataset from the US Census Bureau"
