city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
Westwood,"New Jersey",40.99121,-74.03264,1,place,,,,,Westwood,NJ,"Bergen County",07675,US,"TIGER/Line® dataset from the US Census Bureau"
Bernardsville,"New Jersey",40.72575,-74.593552,1,place,,,,,Bernardsville,NJ,"Somerset County",07924,US,"TIGER/Line® dataset from the US Census Bureau"
"Bound Brook","New Jersey",40.575402,-74.538249,1,place,,,,,"Bound Brook",NJ,"Somerset County",08805,US,"TIGER/Line® dataset from the US Census Bureau"
"East Millstone","New Jersey",40.589554,-74.685411,0.8,place,,,,,Millstone,NJ,"Somerset County",08876,US,"TIGER/Line® dataset from the US Census Bureau"
Manville,"New Jersey",40.541053,-74.589225,1,place,,,,,Manville,NJ,"Somerset County",08835,US,"TIGER/Line® dataset from the US Census Bureau"
"North Plainfield","New Jersey",40.630103,-74.427374,0.9,place,,,,,"North Plainfield",NJ,"Somerset County",07060,US,"TIGER/Line® dataset from the US Census Bureau"
Raritan,"New Jersey",40.573802,-74.642649,1,place,,,,,Raritan,NJ,"Somerset County",08869,US,"TIGER/Line® dataset from the US Census Bureau"
Somerville,"New Jersey",40.589554,-74.685411,1,place,,,,,Somerville,NJ,"Somerset County",08876,US,"TIGER/Line® dataset from the US Census Bureau"
Beverly,"New Jersey",40.049948,-74.917061,1,place,,,,,Beverly,NJ,"Burlington County",08010,US,"TIGER/Line® dataset from the US Census Bureau"
Bordentown,"New Jersey",40.101535,-74.724711,1,place,,,,,Bordentown,NJ,"Burlington County",08505,US,"TIGER/Line® dataset from the US Census Bureau"
Burlington,"New Jersey",40.07122,-74.86489,1,place,,,,,Burlington,NJ,"Burlington County",08016,US,"TIGER/Line® dataset from the US Census Bureau"
Columbus,"New Jersey",40.07261,-74.72072,1,place,,,,,Columbus,NJ,"Burlington County",08022,US,"TIGER/Line® dataset from the US Census Bureau"
Delanco,"New Jersey",40.050667,-74.953502,0.9,place,,,,,Delanco,NJ,"Burlington County",08075,US,"TIGER/Line® dataset from the US Census Bureau"
Florence,"New Jersey",40.115428,-74.802088,1,place,,,,,Florence,NJ,"Burlington County",08518,US,"TIGER/Line® dataset from the US Census Bureau"
"Maple Shade","New Jersey",39.951212,-74.992163,1,place,,,,,"Maple Shade",NJ,"Burlington County",08052,US,"TIGER/Line® dataset from the US Census Bureau"
Medford,"New Jersey",39.90095,-74.8235,1,place,,,,,Medford,NJ,"Burlington County",08055,US,"TIGER/Line® dataset from the US Census Bureau"
Moorestown,"New Jersey",39.96706,-74.94267,1,place,,,,,Moorestown,NJ,"Burlington County",08057,US,"TIGER/Line® dataset from the US Census Bureau"
"Mount Holly","New Jersey",40.00233,-74.7885,1,place,,,,,"Mount Holly",NJ,"Burlington County",08060,US,"TIGER/Line® dataset from the US Census Bureau"
Palmyra,"New Jersey",40.00706,-75.02823,1,place,,,,,Palmyra,NJ,"Burlington County",08065,US,"TIGER/Line® dataset from the US Census Bureau"
Pemberton,"New Jersey",39.966394,-74.709185,1,place,,,,,Pemberton,NJ,"Burlington County",08068,US,"TIGER/Line® dataset from the US Census Bureau"
